name,node_id_cooc,node_id_core,node_id_chem
dried_tofu,523,523,523
dried_vegetable,524,524,524
dry_pot_sauce,525,525,525
dubonnet,526,526,526
duck,527,527,527
duck_egg,528,528,528
duck_fat,529,529,529
duck_sauce,530,530,530
duck_stock,531,531,531
dukkah,532,532,532
dulce_de_leche,533,533,533
dumpling,534,534,534
dumpling_wrapper,535,535,535
durian,536,536,536
earl_grey_tea,537,537,537
edam_cheese,538,538,538
edamame,539,539,539
edible_flower,540,540,540
edible_gold_leaf,541,541,541
eel,542,542,542
egg,543,543,543
egg_noodle,544,544,544
egg_roll,545,545,545
egg_roll_wrapper,546,546,546
egg_substitute,547,547,547
egg_tofu,548,548,548
egg_white,549,549,549
egg_yolk,550,550,550
eggnog,551,551,551
eggplant,552,552,552
einkorn,553,553,553
elderberry,554,554,554
elderflower,555,555,555
elderflower_liqueur,556,556,556
emmental_cheese,557,557,557
empanada_shell,558,558,558
enchilada_sauce,559,559,559
endive,560,560,560
english_muffin,561,561,561
enoki_mushroom,562,562,562
epazote,563,563,563
epiphyllum_flower,564,564,564
er_cai,565,565,565
erythritol,566,566,566
escarole,567,567,567
espelette_pepper,568,568,568
evaporated_milk,569,569,569
ezine_cheese,570,570,570
fajita_seasoning,571,571,571
falafel,572,572,572
falernum,573,573,573
farina,574,574,574
farmer_cheese,575,575,575
farro,576,576,576
fava_bean,577,577,577
feijoa,578,578,578
fennel,579,579,579
fennel_pollen,580,580,580
fennel_seed,581,581,581
fenugreek_leaf,582,582,582
fenugreek_seed,583,583,583
fermentation_starter_cake,584,584,584
fermented_black_bean,585,585,585
fermented_chive_flower_paste,586,586,586
fermented_fish,587,587,587
fermented_glutinous_rice,588,588,588
fermented_tofu,589,589,589
fermented_vegetable_brine,590,590,590
fern,591,591,591
feta_cheese,592,592,592
fiddlehead_fern,593,593,593
fideo,594,594,594
fig,595,595,595
file_powder,596,596,596
filefish,597,597,597
fines_herbes,598,598,598
fish,599,599,599
fish_ball,600,600,600
fish_cake,601,601,601
fish_floss,602,602,602
fish_maw,603,603,603
fish_mint,604,604,604
fish_noodle,605,605,605
fish_oil,606,606,606
fish_paste,607,607,607
fish_roe,608,608,608
fish_sauce,609,609,609
fish_sausage,610,610,610
fish_skin,611,611,611
fish_stock,612,612,612
fish_tofu,613,613,613
five_grain_powder,614,614,614
five_spice_powder,615,615,615
five_willow_vegetable,616,616,616
flageolet_bean,617,617,617
flatbread,618,618,618
flattened_young_rice,619,619,619
flaxseed,620,620,620
flaxseed_oil,621,621,621
flounder,622,622,622
flour,623,623,623
flour_tortilla,624,624,624
foie_gras,625,625,625
fondant,626,626,626
fontina_cheese,627,627,627
food_coloring,628,628,628
fox_nut,629,629,629
frangipane,630,630,630
freekeh,631,631,631
french_dressing,632,632,632
fresno_pepper,633,633,633
fried_bread,634,634,634
fried_dough_twist,635,635,635
fried_gluten_ball,636,636,636
